"Freq [GHz]","Phi [deg]","Theta [deg]","dB20normalize(rETotal) []"
10,0,-180,-24.0155118399727
10,0,-179,-24.0006766643056
10,0,-178,-23.9645774431435
10,0,-177,-23.915214602037
10,0,-176,-23.8650821912062
10,0,-175,-23.8299138313459
10,0,-174,-23.8269540763234
10,0,-173,-23.8729496132972
10,0,-172,-23.9822563623834
10,0,-171,-24.165544901577
10,0,-170,-24.4295848114257
10,0,-169,-24.7785564587251
10,0,-168,-25.217228693808
10,0,-167,-25.756023325917
10,0,-166,-26.4174996945928
10,0,-165,-27.2436479017144
10,0,-164,-28.3045448009634
10,0,-163,-29.7125989262649
10,0,-162,-31.6557245595504
10,0,-161,-34.4917873435679
10,0,-160,-39.0714983868794
10,0,-159,-47.1195656621434
10,0,-158,-42.5432231427653
10,0,-157,-36.559845029257
10,0,-156,-33.2102574730243
10,0,-155,-31.1304303403623
10,0,-154,-29.8224631609152
10,0,-153,-29.0604376234202
10,0,-152,-28.720563220592
10,0,-151,-28.7227866863258
10,0,-150,-29.0055585526846
10,0,-149,-29.5124576388188
10,0,-148,-30.1840291840478
10,0,-147,-30.9533422934615
10,0,-146,-31.7463305651351
10,0,-145,-32.4887595235154
10,0,-144,-33.1194202603191
10,0,-143,-33.6041301744347
10,0,-142,-33.9423707627996
10,0,-141,-34.1629638411685
10,0,-140,-34.3128823168065
10,0,-139,-34.4455261818432
10,0,-138,-34.6110831937541
10,0,-137,-34.8472506726497
10,0,-136,-35.166051379113
10,0,-135.000000000001,-35.5319329238844
10,0,-134.000000000001,-35.8334797473301
10,0,-133.000000000001,-35.881818090202
10,0,-132.000000000001,-35.504251537224
10,0,-131.000000000001,-34.7017514104353
10,0,-130.000000000001,-33.6621046384681
10,0,-129.000000000001,-32.609026920412
10,0,-128.000000000001,-31.6972550559839
10,0,-127.000000000001,-31.0081481746844
10,0,-126.000000000001,-30.5782964898371
10,0,-125.000000000001,-30.4225186808693
10,0,-124.000000000001,-30.5461237497511
10,0,-123.000000000001,-30.9492180517325
10,0,-122.000000000001,-31.6240568369506
10,0,-121.000000000001,-32.5421335636922
10,0,-120.000000000001,-33.6223943330932
10,0,-119.000000000001,-34.67599444461
10,0,-118.000000000001,-35.3816794161309
10,0,-117.000000000001,-35.4547690471663
10,0,-116.000000000001,-34.9445769133197
10,0,-115.000000000001,-34.1774339914514
10,0,-114.000000000001,-33.4511156110879
10,0,-113.000000000001,-32.9263190656078
10,0,-112.000000000001,-32.6702628328081
10,0,-111.000000000001,-32.7065805358692
10,0,-110.000000000001,-33.0391982220607
10,0,-109.000000000001,-33.6560617271966
10,0,-108.000000000001,-34.5156609042507
10,0,-107.000000000001,-35.5130177025336
10,0,-106.000000000001,-36.4348150729649
10,0,-105.000000000001,-36.9825669756858
10,0,-104.000000000001,-36.9774685536879
10,0,-103.000000000001,-36.5529658209046
10,0,-102.000000000001,-36.0109646368187
10,0,-101.000000000001,-35.5909285953295
10,0,-100.000000000001,-35.418481101973
